"","geo","year","values"
"1","at",2020,107.82
"2","be",2020,107.38
"3","bg",2020,107.01
"4","ch",2020,100.54
"5","cy",2020,100.5
"6","cz",2020,112.3
"7","de",2020,106.2
"8","dk",2020,103.1
"9","ee",2020,110.38
"10","gr",2020,99.45
"11","es",2020,103.23
"12","fi",2020,104.09
"13","fr",2020,105.89
"14","hr",2020,103.27
"15","hu",2020,114.24
"16","ie",2020,101.2
"17","is",2020,105.01
"18","it",2020,101.8
"19","lt",2020,110.32
"20","lu",2020,106.34
"21","lv",2020,108.53
"22","mk",2020,107.93
"23","mt",2020,110.35
"24","nl",2020,107.65
"25","no",2020,113.1
"26","pl",2020,109
"27","pt",2020,103.12
"28","ro",2020,110.93
"29","rs",2020,111.2
"30","se",2020,107.99
"31","si",2020,105.02
"32","sk",2020,108.41
"33","tr",2020,181.13
"34","gb",2020,108.6
"35","us",2020,107.24
"36","at",2019,106.34
"37","be",2019,108.34
"38","bg",2019,106.33
"39","ch",2019,101.94
"40","cy",2019,103.49
"41","cz",2019,108.5
"42","de",2019,106.3
"43","dk",2019,102.7
"44","ee",2019,111.87
"45","gr",2019,101.74
"46","es",2019,103.87
"47","fi",2019,103.79
"48","fr",2019,105.67
"49","hr",2019,103.73
"50","hu",2019,109.89
"51","ie",2019,102.3
"52","is",2019,104.1
"53","it",2019,102.3
"54","lt",2019,109.03
"55","lu",2019,106.54
"56","lv",2019,109.08
"57","mk",2019,105.88
"58","mt",2019,109.63
"59","nl",2019,107.32
"60","no",2019,111.3
"61","pl",2019,105.1
"62","pt",2019,103.34
"63","ro",2019,108.24
"64","rs",2019,109.1
"65","se",2019,106.91
"66","si",2019,105.79
"67","sk",2019,106.87
"68","tr",2019,162.07
"69","gb",2019,108.4
"70","us",2019,106.28
"71","at",2018,104.82
"72","be",2018,107.41
"73","bg",2018,103.75
"74","ch",2018,101.46
"75","cy",2018,102.91
"76","cz",2018,105.7
"77","de",2018,105.2
"78","dk",2018,102.2
"79","ee",2018,109.55
"80","gr",2018,101.66
"81","es",2018,103.41
"82","fi",2018,102.51
"83","fr",2018,104.35
"84","hr",2018,103.16
"85","hu",2018,106.49
"86","ie",2018,101.7
"87","is",2018,102.31
"88","it",2018,101.8
"89","lt",2018,106.37
"90","lu",2018,105.06
"91","lv",2018,105.78
"92","mk",2018,105.48
"93","mt",2018,107.56
"94","nl",2018,104.09
"95","no",2018,109.7
"96","pl",2018,102.4
"97","pt",2018,103.46
"98","ro",2018,104.02
"99","rs",2018,107.6
"100","se",2018,105.53
"101","si",2018,103.29
"102","sk",2018,103.77
"103","tr",2018,140.91
"104","gb",2018,106.5
"105","us",2018,104.97
"106","at",2017,102.46
"107","be",2017,104.64
"108","bg",2017,100.03
"109","ch",2017,100.17
"110","cy",2017,101.22
"111","cz",2017,103.2
"112","de",2017,103
"113","dk",2017,101.4
"114","ee",2017,105.8
"115","gr",2017,100.77
"116","es",2017,101.15
"117","fi",2017,101.12
"118","fr",2017,101.74
"119","hr",2017,101
"120","hu",2017,102.95
"121","ie",2017,100.8
"122","is",2017,100.16
"123","it",2017,100.2
"124","lt",2017,104.45
"125","lu",2017,102.58
"126","lv",2017,102.9
"127","mk",2017,103.11
"128","mt",2017,105
"129","nl",2017,102.18
"130","no",2017,105.6
"131","pl",2017,101
"132","pt",2017,102.12
"133","ro",2017,99.36
"134","rs",2017,104.9
"135","se",2017,103.37
"136","si",2017,101.27
"137","sk",2017,100.88
"138","tr",2017,119.51
"139","gb",2017,103.8
"140","us",2017,102.42
"141","at",2016,100.33
"142","be",2016,102.59
"143","bg",2016,99.29
"144","ch",2016,99.63
"145","cy",2016,100.74
"146","cz",2016,100.8
"147","de",2016,101.1
"148","dk",2016,99.9
