"","currency","year","values"
"1","ALL",2020,123.8
"2","ARS",2020,86.5266
"3","AUD",2020,1.6433
"4","BAM",2020,1.95583
"5","BGN",2020,1.9558
"6","BRL",2020,6.4381
"7","CAD",2020,1.5654
"8","CHF",2020,1.0767
"9","CNY",2020,8.1954
"10","CZK",2020,26.167
"11","DKK",2020,7.446
"12","DZD",2020,151.79
"13","EGP",2020,18.84
"14","GBP",2020,0.90081
"15","HKD",2020,9.1671
"16","HRK",2020,7.5077
"17","HUF",2020,348.93
"18","IDR",2020,17402.53
"19","ILS",2020,4.0214
"20","INR",2020,88.2309
"21","ISK",2020,161.77
"22","JPY",2020,125.4
"23","KRW",2020,1403.44
"24","MAD",2020,10.92
"25","MKD",2020,61.6953
"26","MXN",2020,26.2544
"27","MYR",2020,4.9506
"28","NOK",2020,10.5797
"29","NZD",2020,1.7931
"30","PHP",2020,57.682
"31","PLN",2020,4.3995
"32","RON",2020,4.8376
"33","RSD",2020,117.5865
"34","RUB",2020,87.352
"35","SEK",2020,10.3087
"36","SGD",2020,1.6195
"37","THB",2020,36.9109
"38","TRY",2020,8.6144
"39","TWD",2020,34.767
"40","USD",2020,1.1828
"41","ZAR",2020,20.3836
"42","ALL",2019,121.26
"43","ARS",2019,57.7834
"44","AUD",2019,1.6431
"45","BAM",2019,1.95583
"46","BGN",2019,1.9558
"47","BRL",2019,4.4649
"48","CAD",2019,1.4768
"49","CHF",2019,1.0892
"50","CNY",2019,7.858
"51","CZK",2019,25.802
"52","DKK",2019,7.4602
"53","DZD",2019,133.31
"54","EGP",2019,18.45
"55","GBP",2019,0.91554
"56","HKD",2019,8.7243
"57","HRK",2019,7.3897
"58","HUF",2019,326.91
"59","IDR",2019,15838.62
"60","ILS",2019,3.9046
"61","INR",2019,79.1902
"62","ISK",2019,137.66
"63","JPY",2019,118.18
"64","KRW",2019,1347.1
"65","MAD",2019,10.67
"66","MKD",2019,61.4898
"67","MXN",2019,21.8925
"68","MYR",2019,4.6599
"69","NOK",2019,9.9742
"70","NZD",2019,1.7303
"71","PHP",2019,58.075
"72","PLN",2019,4.3466
"73","RON",2019,4.728
"74","RSD",2019,117.777
"75","RUB",2019,73.2161
"76","SEK",2019,10.7356
"77","SGD",2019,1.5408
"78","THB",2019,34.2182
"79","TRY",2019,6.2869
"80","TWD",2019,34.931
"81","USD",2019,1.1126
"82","ZAR",2019,16.8632
"83","ALL",2018,125.66
"84","ARS",2018,34.3997
"85","AUD",2018,1.5762
"86","BAM",2018,1.95583
"87","BGN",2018,1.9558
"88","BRL",2018,4.5357
"89","CAD",2018,1.5063
"90","CHF",2018,1.1413
"91","CNY",2018,7.9092
"92","CZK",2018,25.681
"93","DKK",2018,7.4558
"94","DZD",2018,136.66
"95","EGP",2018,20.65
"96","GBP",2018,0.89687
"97","HKD",2018,9.0655
"98","HRK",2018,7.4261
"99","HUF",2018,323.02
"100","IDR",2018,16822.69
"101","ILS",2018,4.233
"102","INR",2018,80.426
"103","ISK",2018,124.19
"104","JPY",2018,128.2
"105","KRW",2018,1295.39
"106","MAD",2018,10.94
"107","MKD",2018,61.4921
"108","MXN",2018,21.7835
"109","MYR",2018,4.7277
"110","NOK",2018,9.6161
"111","NZD",2018,1.7315
"112","PHP",2018,61.539
"113","PLN",2018,4.2858
"114","RON",2018,4.6439
"115","RSD",2018,118.1041
"116","RUB",2018,76.6684
"117","SEK",2018,10.4668
"118","SGD",2018,1.5807
"119","THB",2018,38.1457
"120","TRY",2018,6.8488
"121","TWD",2018,35.479
"122","USD",2018,1.1549
"123","ZAR",2018,16.2808
"124","ALL",2017,132.53
"125","ARS",2017,20.5797
"126","AUD",2017,1.4919
"127","BAM",2017,1.95583
"128","BGN",2017,1.9558
"129","BRL",2017,3.7201
"130","CAD",2017,1.4889
"131","CHF",2017,1.1398
"132","CNY",2017,7.876
"133","CZK",2017,26.101
"134","DKK",2017,7.4379
"135","DZD",2017,129.43
"136","EGP",2017,20.96
"137","GBP",2017,0.91121
"138","HKD",2017,9.2348
"139","HRK",2017,7.4054
"140","HUF",2017,304.37
"141","IDR",2017,15753.09
"142","ILS",2017,4.2504
"143","INR",2017,75.5465
"144","ISK",2017,125.22
"145","JPY",2017,129.7
"146","KRW",2017,1335.93
"147","MAD",2017,11.14
"148","MKD",2017,61.5307
"149","MXN",2017,21.0333
"150","MYR",2017,5.0579
"151","NOK",2017,9.3201
"152","NZD",2017,1.6167
"153","PHP",2017,60.161
"154","PLN",2017,4.2666
"155","RON",2017,4.5789
"156","RSD",2017,119.574
"157","RUB",2017,70.2902
"158","SEK",2017,9.5485
"159","SGD",2017,1.607
"160","THB",2017,39.2671
"161","TRY",2017,4.1436
"162","TWD",2017,35.704
"163","USD",2017,1.1807
"164","ZAR",2017,15.631
"165","ALL",2016,136.51
"166","ARS",2016,16.6329
"167","AUD",2016,1.469
"168","BAM",2016,1.95583
"169","BGN",2016,1.9558
"170","BRL",2016,3.5983
"171","CAD",2016,1.4557
"172","CHF",2016,1.0881
"173","CNY",2016,7.4537
"174","CZK",2016,27.025
"175","DKK",2016,7.4408
"176","DZD",2016,122.71
"177","EGP",2016,9.95
"178","GBP",2016,0.85521
"179","HKD",2016,8.6961
"180","HRK",2016,7.4866
"181","HUF",2016,310.21
"182","IDR",2016,14757.31
"183","ILS",2016,4.2559
"184","INR",2016,75.0303
