"","geo","year","value","curr"
"1","at",2019,1.13661,"EUR"
"2","be",2019,1.12835,"EUR"
"3","bg",2019,1.04008,"BGN"
"4","ch",2019,1.72625,"CHF"
"5","cy",2019,0.906304,"EUR"
"6","cz",2019,18.6501,"CZK"
"7","de",2019,1.10576,"EUR"
"8","dk",2019,9.91017,"DKK"
"9","ee",2019,0.812606,"EUR"
"10","gr",2019,0.825118,"EUR"
"11","es",2019,0.932104,"EUR"
"12","fi",2019,1.25662,"EUR"
"13","fr",2019,1.08767,"EUR"
"14","hr",2019,4.87194,"HRK"
"15","hu",2019,213.26,"HUF"
"16","ie",2019,1.20133,"EUR"
"17","is",2019,209.292,"ISK"
"18","it",2019,0.995388,"EUR"
"19","jp",2019,154.314,"JPY"
"20","lt",2019,0.670932,"EUR"
"21","lu",2019,1.26099,"EUR"
"22","lv",2019,0.739527,"EUR"
"23","mk",2019,28.0199,"MKD"
"24","mt",2019,0.858491,"EUR"
"25","nl",2019,1.16956,"EUR"
"26","no",2019,14.5366,"NOK"
"27","pl",2019,2.62707,"PLN"
"28","pt",2019,0.839898,"EUR"
"29","ro",2019,2.51804,"RON"
"30","se",2019,13.2178,"SEK"
"31","si",2019,0.837537,"EUR"
"32","sk",2019,0.787341,"EUR"
"33","tr",2019,2.82225,"TRY"
"34","gb",2019,1.01839,"GBP"
"35","us",2019,1.53331,"USD"
"36","at",2018,1.12695,"EUR"
"37","be",2018,1.12835,"EUR"
"38","bg",2018,1.00567,"BGN"
"39","ch",2018,1.73847,"CHF"
"40","cy",2018,0.897608,"EUR"
"41","cz",2018,18.2478,"CZK"
"42","de",2018,1.08656,"EUR"
"43","dk",2018,9.98394,"DKK"
"44","ee",2018,0.796618,"EUR"
"45","gr",2018,0.83213,"EUR"
"46","es",2018,0.932072,"EUR"
"47","fi",2018,1.25602,"EUR"
"48","fr",2018,1.11424,"EUR"
"49","hr",2018,4.86956,"HRK"
"50","hu",2018,205.475,"HUF"
"51","ie",2018,1.16694,"EUR"
"52","is",2018,203.977,"ISK"
"53","it",2018,1.00281,"EUR"
"54","jp",2018,153.676,"JPY"
"55","lt",2018,0.658928,"EUR"
"56","lu",2018,1.24903,"EUR"
"57","lv",2018,0.724159,"EUR"
"58","mk",2018,28.0694,"MKD"
"59","mt",2018,0.861216,"EUR"
"60","nl",2018,1.14417,"EUR"
"61","no",2018,14.1556,"NOK"
"62","pl",2018,2.57675,"PLN"
"63","pt",2018,0.842441,"EUR"
"64","ro",2018,2.46446,"RON"
"65","se",2018,13.0688,"SEK"
"66","si",2018,0.838144,"EUR"
"67","sk",2018,0.768032,"EUR"
"68","tr",2018,2.40924,"TRY"
"69","gb",2018,1.00819,"GBP"
"70","us",2018,1.52148,"USD"
"71","at",2017,1.1286,"EUR"
"72","be",2017,1.12951,"EUR"
"73","bg",2017,0.984827,"BGN"
"74","ch",2017,1.72962,"CHF"
"75","cy",2017,0.895856,"EUR"
"76","cz",2017,18.0938,"CZK"
"77","de",2017,1.08458,"EUR"
"78","dk",2017,10.0068,"DKK"
"79","ee",2017,0.778956,"EUR"
"80","gr",2017,0.837399,"EUR"
"81","es",2017,0.918655,"EUR"
"82","fi",2017,1.25769,"EUR"
"83","fr",2017,1.12146,"EUR"
"84","hr",2017,4.84151,"HRK"
"85","hu",2017,198.102,"HUF"
"86","ie",2017,1.15685,"EUR"
"87","is",2017,201.365,"ISK"
"88","it",2017,1.00465,"EUR"
"89","jp",2017,153.068,"JPY"
"90","lt",2017,0.644706,"EUR"
"91","lu",2017,1.23535,"EUR"
"92","lv",2017,0.705603,"EUR"
"93","mk",2017,27.6251,"MKD"
"94","mt",2017,0.853974,"EUR"
"95","nl",2017,1.139,"EUR"
"96","no",2017,14.1981,"NOK"
"97","pl",2017,2.53806,"PLN"
"98","pt",2017,0.838342,"EUR"
"99","ro",2017,2.34975,"RON"
"100","se",2017,12.891,"SEK"
"101","si",2017,0.830276,"EUR"
"102","sk",2017,0.752052,"EUR"
"103","tr",2017,2.01541,"TRY"
"104","gb",2017,0.996945,"GBP"
"105","us",2017,1.46089,"USD"
"106","at",2016,1.11889,"EUR"
"107","be",2016,1.12477,"EUR"
"108","bg",2016,0.960092,"BGN"
"109","ch",2016,1.731,"CHF"
"110","cy",2016,0.89624,"EUR"
"111","cz",2016,18.1117,"CZK"
"112","de",2016,1.08386,"EUR"
"113","dk",2016,10.196,"DKK"
"114","ee",2016,0.760177,"EUR"
"115","gr",2016,0.847638,"EUR"
"116","es",2016,0.925499,"EUR"
"117","fi",2016,1.26861,"EUR"
"118","fr",2016,1.12337,"EUR"
"119","hr",2016,4.87058,"HRK"
"120","hu",2016,190.147,"HUF"
"121","ie",2016,1.14389,"EUR"
"122","is",2016,201.663,"ISK"
"123","it",2016,1.00888,"EUR"
"124","jp",2016,151.963,"JPY"
"125","lt",2016,0.631416,"EUR"
"126","lu",2016,1.22685,"EUR"
"127","lv",2016,0.697799,"EUR"
"128","mk",2016,27.3031,"MKD"
"129","mt",2016,0.839628,"EUR"
"130","nl",2016,1.14556,"EUR"
"131","no",2016,14.4618,"NOK"
"132","pl",2016,2.49554,"PLN"
"133","pt",2016,0.82292,"EUR"
"134","ro",2016,2.2998,"RON"
"135","se",2016,12.7058,"SEK"
"136","si",2016,0.831115,"EUR"
"137","sk",2016,0.724671,"EUR"
"138","tr",2016,1.78729,"TRY"
"139","gb",2016,0.991686,"GBP"
"140","us",2016,1.44014,"USD"
"141","at",2015,1.11121,"EUR"
"142","be",2015,1.11285,"EUR"
"143","bg",2015,0.944121,"BGN"
"144","ch",2015,1.71907,"CHF"
"145","cy",2015,0.922476,"EUR"
"146","cz",2015,17.9976,"CZK"
"147","de",2015,1.08242,"EUR"
"148","dk",2015,10.1623,"DKK"
"149","ee",2015,0.747812,"EUR"
"150","gr",2015,0.84726,"EUR"
"151","es",2015,0.924701,"EUR"
"152","fi",2015,1.26274,"EUR"
"153","fr",2015,1.12495,"EUR"
"154","hr",2015,4.88597,"HRK"
"155","hu",2015,184.391,"HUF"
"156","ie",2015,1.12633,"EUR"
"157","is",2015,197.497,"ISK"
"158","it",2015,1.02758,"EUR"
"159","jp",2015,143.933,"JPY"
"160","lt",2015,0.62022,"EUR"
"161","lu",2015,1.2259,"EUR"
"162","lv",2015,0.692155,"EUR"
"163","mk",2015,27.0433,"MKD"
"164","mt",2015,0.834226,"EUR"
"165","nl",2015,1.12674,"EUR"
"166","no",2015,13.8168,"NOK"
"167","pl",2015,2.4554,"PLN"
"168","pt",2015,0.813702,"EUR"
"169","ro",2015,2.31317,"RON"
"170","se",2015,12.3171,"SEK"
"171","si",2015,0.828101,"EUR"
"172","sk",2015,0.683779,"EUR"
"173","tr",2015,1.61705,"TRY"
"174","gb",2015,0.963388,"GBP"
"175","us",2015,1.39107,"USD"
"176","at",2014,1.11485,"EUR"
"177","be",2014,1.11683,"EUR"
"178","bg",2014,0.922856,"BGN"
"179","ch",2014,1.78891,"CHF"
"180","cy",2014,0.948649,"EUR"
"181","cz",2014,17.7294,"CZK"
"182","de",2014,1.07318,"EUR"
"183","dk",2014,10.2284,"DKK"
"184","ee",2014,0.735363,"EUR"
"185","gr",2014,0.85294,"EUR"
"186","es",2014,0.924431,"EUR"
"187","fi",2014,1.26616,"EUR"
"188","fr",2014,1.12709,"EUR"
"189","hr",2014,4.94552,"HRK"
"190","hu",2014,180.62,"HUF"
"191","ie",2014,1.14311,"EUR"
"192","is",2014,193.367,"ISK"
"193","it",2014,1.0323,"EUR"
"194","jp",2014,143.826,"JPY"
"195","lt",2014,0.617752,"EUR"
"196","lu",2014,1.23396,"EUR"
"197","lv",2014,0.694428,"EUR"
"198","mk",2014,26.5119,"MKD"
"199","mt",2014,0.818362,"EUR"
"200","nl",2014,1.12881,"EUR"
"201","no",2014,12.9496,"NOK"
"202","pl",2014,2.46634,"PLN"
"203","pt",2014,0.807907,"EUR"
"204","ro",2014,2.27266,"RON"
"205","se",2014,12.1802,"SEK"
"206","si",2014,0.82517,"EUR"
"207","sk",2014,0.677472,"EUR"
"208","tr",2014,1.54152,"TRY"
"209","gb",2014,0.974794,"GBP"
"210","us",2014,1.39567,"USD"
"211","at",2013,1.10489,"EUR"
"212","be",2013,1.11748,"EUR"
"213","bg",2013,0.942606,"BGN"
"214","ch",2013,1.81932,"CHF"
"215","cy",2013,0.952737,"EUR"
"216","cz",2013,17.7226,"CZK"
"217","de",2013,1.07398,"EUR"
"218","dk",2013,10.1951,"DKK"
"219","ee",2013,0.724169,"EUR"
"220","gr",2013,0.875071,"EUR"
"221","es",2013,0.935389,"EUR"
"222","fi",2013,1.25498,"EUR"
"223","fr",2013,1.12508,"EUR"
"224","hr",2013,4.95572,"HRK"
"225","hu",2013,173.243,"HUF"
"226","ie",2013,1.1245,"EUR"
