"country","agerange","min_age","max_age","sex","av_los","hosp_reason","icd10","reference_year","reference"
"be","Y_LT1",0,0,"F",3.6,"all rt","J",2018,"eurostat"
"be","Y_LT1",0,0,"F",2.5,"urti/inf","J00-J11",2018,"eurostat"
"be","Y_LT1",0,0,"F",4.7,"pneumonia","J12-J18",2018,"eurostat"
"be","Y_LT1",0,0,"F",4,"other lrti","J20-J22",2018,"eurostat"
"be","Y_LT1",0,0,"M",3.5,"all rt","J",2018,"eurostat"
"be","Y_LT1",0,0,"M",2.4,"urti/inf","J00-J11",2018,"eurostat"
"be","Y_LT1",0,0,"M",4.2,"pneumonia","J12-J18",2018,"eurostat"
"be","Y_LT1",0,0,"M",3.9,"other lrti","J20-J22",2018,"eurostat"
"ch","Y_LT1",0,0,"F",3.8,"all rt","J",2018,"eurostat"
"ch","Y_LT1",0,0,"F",2.5,"urti/inf","J00-J11",2018,"eurostat"
"ch","Y_LT1",0,0,"F",6.8,"pneumonia","J12-J18",2018,"eurostat"
"ch","Y_LT1",0,0,"F",4,"other lrti","J20-J22",2018,"eurostat"
"ch","Y_LT1",0,0,"M",3.5,"all rt","J",2018,"eurostat"
"ch","Y_LT1",0,0,"M",2.2,"urti/inf","J00-J11",2018,"eurostat"
"ch","Y_LT1",0,0,"M",5.4,"pneumonia","J12-J18",2018,"eurostat"
"ch","Y_LT1",0,0,"M",3.7,"other lrti","J20-J22",2018,"eurostat"
"cy","Y_LT1",0,0,"F",4,"all rt","J",2018,"eurostat"
"cy","Y_LT1",0,0,"F",2.4,"urti/inf","J00-J11",2018,"eurostat"
"cy","Y_LT1",0,0,"F",6.1,"pneumonia","J12-J18",2018,"eurostat"
"cy","Y_LT1",0,0,"F",4.4,"other lrti","J20-J22",2018,"eurostat"
"cy","Y_LT1",0,0,"M",4.1,"all rt","J",2018,"eurostat"
"cy","Y_LT1",0,0,"M",2.1,"urti/inf","J00-J11",2018,"eurostat"
"cy","Y_LT1",0,0,"M",8.5,"pneumonia","J12-J18",2018,"eurostat"
"cy","Y_LT1",0,0,"M",4.3,"other lrti","J20-J22",2018,"eurostat"
"cz","Y_LT1",0,0,"F",4.1,"all rt","J",2018,"eurostat"
"cz","Y_LT1",0,0,"F",2.7,"urti/inf","J00-J11",2018,"eurostat"
"cz","Y_LT1",0,0,"F",5.8,"pneumonia","J12-J18",2018,"eurostat"
"cz","Y_LT1",0,0,"F",4.7,"other lrti","J20-J22",2018,"eurostat"
"cz","Y_LT1",0,0,"M",4.6,"all rt","J",2018,"eurostat"
"cz","Y_LT1",0,0,"M",2.7,"urti/inf","J00-J11",2018,"eurostat"
"cz","Y_LT1",0,0,"M",5.8,"pneumonia","J12-J18",2018,"eurostat"
"cz","Y_LT1",0,0,"M",4.8,"other lrti","J20-J22",2018,"eurostat"
"es","Y_LT1",0,0,"F",4.7,"all rt","J",2018,"eurostat"
"es","Y_LT1",0,0,"F",3.2,"urti/inf","J00-J11",2018,"eurostat"
"es","Y_LT1",0,0,"F",5,"pneumonia","J12-J18",2018,"eurostat"
"es","Y_LT1",0,0,"F",4.8,"other lrti","J20-J22",2018,"eurostat"
"es","Y_LT1",0,0,"M",4.7,"all rt","J",2018,"eurostat"
"es","Y_LT1",0,0,"M",3.1,"urti/inf","J00-J11",2018,"eurostat"
"es","Y_LT1",0,0,"M",5.1,"pneumonia","J12-J18",2018,"eurostat"
"es","Y_LT1",0,0,"M",4.7,"other lrti","J20-J22",2018,"eurostat"
"fi","Y_LT1",0,0,"F",2.7,"all rt","J",2018,"eurostat"
"fi","Y_LT1",0,0,"F",1.8,"urti/inf","J00-J11",2018,"eurostat"
"fi","Y_LT1",0,0,"F",2.8,"pneumonia","J12-J18",2018,"eurostat"
"fi","Y_LT1",0,0,"F",3,"other lrti","J20-J22",2018,"eurostat"
"fi","Y_LT1",0,0,"M",2.6,"all rt","J",2018,"eurostat"
"fi","Y_LT1",0,0,"M",2.1,"urti/inf","J00-J11",2018,"eurostat"
"fi","Y_LT1",0,0,"M",3.4,"pneumonia","J12-J18",2018,"eurostat"
"fi","Y_LT1",0,0,"M",2.7,"other lrti","J20-J22",2018,"eurostat"
"fr","Y_LT1",0,0,"F",3.6,"all rt","J",2018,"eurostat"
"fr","Y_LT1",0,0,"F",2.1,"urti/inf","J00-J11",2018,"eurostat"
"fr","Y_LT1",0,0,"F",4.9,"pneumonia","J12-J18",2018,"eurostat"
"fr","Y_LT1",0,0,"F",3.8,"other lrti","J20-J22",2018,"eurostat"
"fr","Y_LT1",0,0,"M",3.4,"all rt","J",2018,"eurostat"
"fr","Y_LT1",0,0,"M",2,"urti/inf","J00-J11",2018,"eurostat"
"fr","Y_LT1",0,0,"M",4.7,"pneumonia","J12-J18",2018,"eurostat"
"fr","Y_LT1",0,0,"M",3.6,"other lrti","J20-J22",2018,"eurostat"
"hr","Y_LT1",0,0,"F",5.3,"all rt","J",2018,"eurostat"
"hr","Y_LT1",0,0,"F",4.1,"urti/inf","J00-J11",2018,"eurostat"
"hr","Y_LT1",0,0,"F",5.9,"pneumonia","J12-J18",2018,"eurostat"
"hr","Y_LT1",0,0,"F",5.4,"other lrti","J20-J22",2018,"eurostat"
"hr","Y_LT1",0,0,"M",5.1,"all rt","J",2018,"eurostat"
"hr","Y_LT1",0,0,"M",4,"urti/inf","J00-J11",2018,"eurostat"
"hr","Y_LT1",0,0,"M",5.4,"pneumonia","J12-J18",2018,"eurostat"
"hr","Y_LT1",0,0,"M",5.1,"other lrti","J20-J22",2018,"eurostat"
"hu","Y_LT1",0,0,"F",4.2,"all rt","J",2018,"eurostat"
"hu","Y_LT1",0,0,"F",2,"urti/inf","J00-J11",2018,"eurostat"
"hu","Y_LT1",0,0,"F",6.1,"pneumonia","J12-J18",2018,"eurostat"
"hu","Y_LT1",0,0,"F",4.1,"other lrti","J20-J22",2018,"eurostat"
"hu","Y_LT1",0,0,"M",4.2,"all rt","J",2018,"eurostat"
"hu","Y_LT1",0,0,"M",2.2,"urti/inf","J00-J11",2018,"eurostat"
"hu","Y_LT1",0,0,"M",5.5,"pneumonia","J12-J18",2018,"eurostat"
"hu","Y_LT1",0,0,"M",3.9,"other lrti","J20-J22",2018,"eurostat"
"it","Y_LT1",0,0,"F",5.6,"all rt","J",2018,"eurostat"
"it","Y_LT1",0,0,"F",3.4,"urti/inf","J00-J11",2018,"eurostat"
"it","Y_LT1",0,0,"F",6,"pneumonia","J12-J18",2018,"eurostat"
"it","Y_LT1",0,0,"F",5,"other lrti","J20-J22",2018,"eurostat"
"it","Y_LT1",0,0,"M",5.5,"all rt","J",2018,"eurostat"
"it","Y_LT1",0,0,"M",3.4,"urti/inf","J00-J11",2018,"eurostat"
"it","Y_LT1",0,0,"M",5.9,"pneumonia","J12-J18",2018,"eurostat"
"it","Y_LT1",0,0,"M",5,"other lrti","J20-J22",2018,"eurostat"
"nl","Y_LT1",0,0,"F",3.3,"all rt","J",2018,"eurostat"
"nl","Y_LT1",0,0,"F",2.3,"urti/inf","J00-J11",2018,"eurostat"
"nl","Y_LT1",0,0,"F",4.5,"pneumonia","J12-J18",2018,"eurostat"
"nl","Y_LT1",0,0,"F",3.9,"other lrti","J20-J22",2018,"eurostat"
"nl","Y_LT1",0,0,"M",3.3,"all rt","J",2018,"eurostat"
"nl","Y_LT1",0,0,"M",2.3,"urti/inf","J00-J11",2018,"eurostat"
"nl","Y_LT1",0,0,"M",4,"pneumonia","J12-J18",2018,"eurostat"
"nl","Y_LT1",0,0,"M",3.9,"other lrti","J20-J22",2018,"eurostat"
"no","Y_LT1",0,0,"F",3.2,"all rt","J",2018,"eurostat"
"no","Y_LT1",0,0,"F",1.5,"urti/inf","J00-J11",2018,"eurostat"
"no","Y_LT1",0,0,"F",5.4,"pneumonia","J12-J18",2018,"eurostat"
"no","Y_LT1",0,0,"F",3.4,"other lrti","J20-J22",2018,"eurostat"
"no","Y_LT1",0,0,"M",3.3,"all rt","J",2018,"eurostat"
"no","Y_LT1",0,0,"M",1.5,"urti/inf","J00-J11",2018,"eurostat"
"no","Y_LT1",0,0,"M",5.3,"pneumonia","J12-J18",2018,"eurostat"
"no","Y_LT1",0,0,"M",3.1,"other lrti","J20-J22",2018,"eurostat"
"pl","Y_LT1",0,0,"F",6.3,"all rt","J",2018,"eurostat"
"pl","Y_LT1",0,0,"F",3.6,"urti/inf","J00-J11",2018,"eurostat"
"pl","Y_LT1",0,0,"F",7.4,"pneumonia","J12-J18",2018,"eurostat"
"pl","Y_LT1",0,0,"F",5.6,"other lrti","J20-J22",2018,"eurostat"
