textbox22
generated on 30/09/2020 10:02:14 UTC

HEMISPHERELONG,CONTINENT,WHOREGION,FLULONG,Country,Year,Week,SDATE,EDATE,AGEGROUP_CODE,ILI_CASES,ILI_OUTPATIENTS,ILI_POP_COV,ILI_OUT_RATE,ILI_POP_RATE,ILI_SAMPLED,ILI_INF_POS,ILI_INF_NEG,ILI_COVID19_TESTED,ILI_COVID19_POS,ILI_COVID19_NEG,ILI_COVID19_RATIO,SARI_CASES,SARI_INPATIENTS,SARI_POP_COV,SARI_IN_RATE,SARI_POP_RATE,SARI_SAMPLED,SARI_INF_POS,SARI_INF_NEG,SARI_COVID19_TESTED,SARI_COVID19_POS,SARI_COVID19_NEG,SARI_COVID19_RATIO,ARI_CASES,ARI_OUTPATIENTS,ARI_POP_COV,ARI_OUT_RATE,ARI_POP_RATE,PNEU_CASES,PNEU_INPATIENTS,PNEU_POP_COV,PNEU_IN_RATE,PNEU_POP_RATE,GEOSPREAD,INTENSITY,TREND,IMPACT
Northern hemishere,Europe,EUR,Western Asia,Armenia,2019,20,2019-05-13,2019-05-19,All,0,,175109,,0.00,,,,,,,,126,772,0,16.32,,12,,,,,,,2637,,2986151,,88.31,,,,,,2,,3,
Northern hemishere,Europe,EUR,Western Asia,Georgia,2019,20,2019-05-13,2019-05-19,All,22,,62020,,35.47,,,,,,,,32,379,,8.44,,20,,,,,,,,,,,,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,Northern Europe,Norway,2019,20,2019-05-13,2019-05-19,All,488,,3310656,,14.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2019,20,2019-05-13,2019-05-19,All,1615,,1017593,,158.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Belgium,2019,20,2019-05-13,2019-05-19,All,3,,82311,,3.64,,,,,,,,,,,,,,,,,,,,988,,82311,,1200.33,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Germany,2019,20,2019-05-13,2019-05-19,All,,,,,,,,,,,,,,,,,,,,,,,,,8651,,1072118,,806.91,,,,,,2,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2019,20,2019-05-13,2019-05-19,All,201,,2089062,,9.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2019,20,2019-05-13,2019-05-19,All,36,,127771,,28.18,,,,,,,,,,,,,,,,,,,,3312,,1415307,,234.01,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2019,20,2019-05-13,2019-05-19,All,3,,80642,,3.72,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,2,,2,0
Northern hemishere,Europe,EUR,South West Europe,Greece,2019,20,2019-05-13,2019-05-19,All,352,,172886,,203.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,0
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2019,20,2019-05-13,2019-05-19,All,4,,275467,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
Northern hemishere,Europe,EUR,South West Europe,Belgium,2019,19,2019-05-06,2019-05-12,All,6,,91766,,6.54,,,,,,,,,,,,,,,,,,,,1050,,91766,,1144.21,,,,,,1,,2,
